w1,w2,w3,thetaA,f1
0.33,0.33,0.33,0.68,0.0006
0.50,0.00,0.50,0.55,0.0006
0.00,0.50,0.50,0.80,0.0006
1.00,0.00,0.00,0.13,0.0005
0.00,0.00,1.00,0.80,0.0004
0.00,0.50,0.50,0.83,0.0004
0.00,0.50,0.50,0.85,0.0004
0.00,0.50,0.50,0.90,0.0004
0.00,0.50,0.50,0.88,0.0004
0.00,0.00,1.00,0.83,0.0004
0.00,0.50,0.50,0.93,0.0003
0.00,0.00,1.00,0.88,0.0003
0.00,0.00,1.00,0.85,0.0003
0.33,0.33,0.33,0.70,0.0003
0.00,0.50,0.50,0.95,0.0003
0.00,0.00,1.00,0.90,0.0002
0.00,0.00,1.00,0.93,0.0002
0.00,0.00,1.00,0.95,0.0001
1.00,0.00,0.00,0.05,0.0001
1.00,0.00,0.00,0.08,0.0001
1.00,0.00,0.00,0.10,0.0001
0.50,0.50,0.00,0.05,0.0001
0.50,0.00,0.50,0.05,0.0001
0.50,0.40,0.10,0.05,0.0001
